ARO Term,ARO Accession,Reference Model Type,Reference DB,Resistomes & Variants: Observed Pathogen(s),AMR Gene Family,Drug Class,Resistance Mechanism
CfiA2,3006912,protein homolog model,Resistomes & Variants,Bacteroides fragilis,CfiA beta-lactamase,carbapenem,antibiotic inactivation
PDC-189,3006568,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-443,3006811,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
ACT-77,3006271,protein homolog model,CARD; Resistomes & Variants,Enterobacter; Enterobacter cloacae,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
ACT-47,3006242,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
vanT gene in vanE cluster,3002971,protein homolog model,Resistomes & Variants,Enterococcus pallens,glycopeptide resistance gene cluster; vanT,glycopeptide antibiotic,antibiotic target alteration
LRA-18,3002492,protein homolog model,CARD,uncultured bacterium,class C LRA beta-lactamase,cephalosporin; penam,antibiotic inactivation
mdsC,3000791,protein homolog model,CARD; Resistomes & Variants,Salmonella enterica,resistance-nodulation-cell division (RND) antibiotic efflux pump,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,antibiotic efflux
LUT-3,3006945,protein homolog model,CARD,Pseudomonas,LUT beta-lactamase,cephalosporin,antibiotic inactivation
cfrE,3005023,protein homolog model,CARD,Clostridium sp.,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,antibiotic target alteration
OXA-465,3003621,protein homolog model,Resistomes & Variants,Campylobacter jejuni,OXA beta-lactamase; OXA-184-like beta-lactamase,penam,antibiotic inactivation
OXA-848,3006041,protein homolog model,CARD,Pseudomonas aeruginosa,OXA beta-lactamase; OXA-50-like beta-lactamase,penam,antibiotic inactivation
OXA-907,3006094,protein homolog model,CARD,Pseudomonas aeruginosa,OXA beta-lactamase; OXA-50-like beta-lactamase,penam,antibiotic inactivation
OXA-395,3001581,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,OXA beta-lactamase; OXA-50-like beta-lactamase,penam,antibiotic inactivation
OXA-851,3006043,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,OXA beta-lactamase; OXA-50-like beta-lactamase,penam,antibiotic inactivation
OXA-903,3006091,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,OXA beta-lactamase; OXA-50-like beta-lactamase,penam,antibiotic inactivation
APH(9)-Ic,3007539,protein homolog model,CARD,Stenotrophomonas maltophilia,APH(9),aminoglycoside antibiotic,antibiotic inactivation
PDC-211,3006589,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-97,3006850,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
OXA-277,3001733,protein homolog model,CARD,Acinetobacter schindleri,OXA beta-lactamase; OXA-134-like beta-lactamase,carbapenem; penam,antibiotic inactivation
MOX-3,3002186,protein homolog model,CARD; Resistomes & Variants,Aeromonas sp.; Aeromonas caviae,MOX beta-lactamase,cephalosporin; cephamycin; penam,antibiotic inactivation
MOX-4,3002184,protein homolog model,CARD,Aeromonas caviae,MOX beta-lactamase,cephalosporin; cephamycin; penam,antibiotic inactivation
MOX-2,3002183,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,MOX beta-lactamase,cephalosporin; cephamycin; penam,antibiotic inactivation
catII,3002684,protein homolog model,Resistomes & Variants,Acinetobacter baumannii; Aeromonas caviae; Aeromonas veronii; Avibacterium paragallinarum; Escherichia coli; Haemophilus influenzae; Klebsiella aerogenes; Klebsiella pneumoniae; Morganella morganii; Pasteurella multocida; Proteus mirabilis; Proteus penneri; Providencia rettgeri; Providencia stuartii; Pseudomonas aeruginosa; Salmonella enterica,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
SHV-64,3001119,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-101,3001150,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-78,3001132,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-8,3001067,protein homolog model,CARD,Escherichia coli,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-133,3001177,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-49,3001106,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-185,3003152,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-75,3001129,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-142,3001184,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-129,3001176,protein homolog model,CARD,Escherichia coli,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-172,3001356,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-150,3001189,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-20,3001078,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-161,3001200,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-106,3001155,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-76,3001130,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-103,3001152,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-158,3001197,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-59,3001114,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-119,3001340,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-31,3001089,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae; Citrobacter freundii,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-147,3001186,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-13,3001072,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-135,3001179,protein homolog model,CARD,Escherichia coli,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-48,3001105,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-45,3001103,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-95,3001147,protein homolog model,CARD,Citrobacter freundii,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-16,3001075,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-120,3001167,protein homolog model,CARD,Escherichia coli,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-98,3001336,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-145,3001185,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-179,3001362,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-3,3001062,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
MCR-1.13,3004690,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
SHV-4,3001063,protein homolog model,CARD,Escherichia coli,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
MCR-1.6,3004513,protein homolog model,CARD,Salmonella enterica,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
SHV-205,3005207,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-198,3005209,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-201,3005211,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-194,3005223,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-220,3005224,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-208,3005226,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-226,3005228,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-211,3005230,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-219,3005231,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-199,3005232,protein homolog model,CARD,Escherichia coli,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-227,3005233,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-207,3005236,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-193,3005239,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-191,3003591,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
MCR-1.20,3007235,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.24,3007243,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
qacE,3005009,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
SHV-2,3001060,protein homolog model,Resistomes & Variants,Citrobacter werkmanii; Escherichia coli; Klebsiella michiganensis; Klebsiella pneumoniae; Klebsiella quasipneumoniae; Raoultella planticola; Salmonella enterica,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-12,3001071,protein homolog model,Resistomes & Variants,Enterobacter asburiae; Klebsiella pneumoniae; Enterobacter hormaechei,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
DfrA37,3005347,protein homolog model,Resistomes & Variants,Escherichia coli,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
aadA15,3002615,protein homolog model,Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
SHV-209,3005242,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-77,3001131,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-27,3001085,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-116,3001165,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-33,3001091,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-36,3001094,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
aadA8b,3004704,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
SHV-71,3001125,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-40,3001098,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-25,3001083,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-61,3001116,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-186,3003153,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-171,3001355,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-168,3001352,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
VIM-59,3005507,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,VIM beta-lactamase,carbapenem; cephalosporin; cephamycin; penam; penem,antibiotic inactivation
rmtB,3000860,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,16S rRNA methyltransferase (G1405),aminoglycoside antibiotic,antibiotic target alteration
SHV-225,3005241,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
aadA4,3002604,protein homolog model,Resistomes & Variants,Salmonella enterica,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
aadA12,3002612,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
AAC(6')-31,3002585,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
